ID,year,first_utc,last_utc,rows_n,rain_2m_inches_n,rain_backup_2m_inches_n,temp_air_2m_C_n,rh_2m_pct_n,wind_speed_10m_mph_n,rfd_2m_wm2_n,trf_2m_kJm2_n,vp_2m_kPa_n,vp_sat_2m_kPa_n,vp_def_2m_kPa_n,temp_dp_2m_C_n,rain_positive_rows,rain_total_inches
110,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35021,35021,35021,35017,35021,35012,34998,35021,35017,35017,35017,35016,1224.0,53.49999956972897
110,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35032,35011,35036,35036,35036,35036,35036,1028.0,63.069999773055315
110,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35025,35008,35035,35035,35035,35035,35035,1069.0,65.38999997638166
120,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34519,34519,34519,34519,34519,34519,34498,34519,34519,34519,34519,34517,964.0,43.169999703764915
120,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35007,35036,35036,35036,35036,35036,1123.0,57.50999951176345
120,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35016,35035,35015,35018,35035,35016,35016,35016,35016,823.0,30.049999764189124
121,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35022,35022,35022,35011,35022,35006,34999,35022,35011,35011,35011,35011,1102.0,81.00999963469803
121,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35033,35033,35033,35033,35033,35031,35004,35033,35033,35033,35033,35033,867.0,61.20999978668988
121,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35033,35007,35034,35034,35034,35034,35034,830.0,48.64999992586672
125,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35004,35004,35004,35004,35004,34778,34967,35004,35004,35004,35004,35004,974.0,53.98999965377152
125,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35035,35014,35036,35036,35036,35036,35036,938.0,55.58999980799854
125,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35033,35007,35036,35036,35036,35036,35036,1052.0,49.59999975003302
130,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35016,35016,35016,35016,35016,35014,35010,34914,35016,35016,35016,35016,947.0,45.799999695271254
130,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,35034,35034,34900,35005,35034,35034,35034,35034,35034,948.0,61.65999964810908
130,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35006,35036,35036,35036,35036,35036,877.0,46.61999952420592
140,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35021,35021,35021,35021,35021,35021,35013,35021,35021,35021,35021,35020,1122.0,60.66999966092408
140,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35031,35031,35031,33573,33609,34982,35002,35031,33573,33573,33573,33573,876.0,64.72999983467162
140,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35024,35024,35024,35024,35024,35022,35002,35024,35024,35024,35024,35024,898.0,40.21999964118004
150,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35021,35021,35021,35010,35011,35017,34959,35021,35010,35010,35010,35010,1203.0,73.35999972000718
150,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35029,35005,35035,35035,35035,35035,35035,1085.0,66.72999969869852
150,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35026,35003,35035,35035,35035,35035,35035,884.0,51.58999959565699
160,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35019,35019,35019,34925,34925,35010,34918,35019,34925,34925,34925,34925,1293.0,75.67999965324998
160,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35029,34999,35035,35035,35035,35035,35035,1028.0,68.04999984242022
160,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,34320,34320,34912,34995,35036,34320,34320,34320,34320,855.0,40.24999966658652
170,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35034,35034,35034,35034,35034,35034,35034,35034,35034,35034,35034,35034,1110.0,58.49999961256981
170,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,1048.0,58.64999960921705
170,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35033,35035,35035,35035,35035,35035,35035,845.0,42.039999740198255
190,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,35035,35035,35035,35035,1120.0,64.22999962233007
190,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35030,35036,35036,35036,35036,35036,35036,896.0,50.809999752789736
190,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35034,35036,35036,35036,35036,35036,35036,980.0,43.15999961644411
230,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35025,35025,35025,35025,35025,35010,35001,35025,35025,35025,35025,35025,1014.0,62.74999963119626
230,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,35034,35034,35019,35006,35034,35034,35034,35034,35034,1022.0,52.749999755993485
230,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35024,35010,35035,35035,35035,35035,35035,805.0,44.309999672695994
240,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34943,34943,34943,34943,34943,34890,34942,34943,34943,34943,34943,34943,993.0,58.45999965630472
240,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,34092,34092,34092,34092,34092,34083,34092,34092,34092,34092,34092,34092,1039.0,52.149999625980854
240,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34090,34090,34090,34090,34090,34087,34090,34090,34090,34090,34090,34090,695.0,33.73999980092049
241,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35036,35036,35028,35010,35036,35036,35036,35036,35036,715.0,44.75999983213842
241,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35027,35006,35036,35036,35036,35036,35036,881.0,50.619999727234244
241,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35033,35008,35036,35036,35036,35036,35036,629.0,36.41999994404614
250,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34607,34607,34607,34599,34600,34582,34583,34607,34599,34599,34599,34598,831.0,43.45999982766807
250,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35022,35022,35022,35018,35022,34069,34995,35022,35018,35018,35018,35017,915.0,48.369999745860696
250,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35034,35006,35035,35035,35035,35035,35035,716.0,37.83999990671873
260,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34333,34333,34333,34319,34333,34301,34308,34333,34319,34319,34319,34234,911.0,46.799999790266156
260,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35027,35027,35027,35027,35027,35024,34998,35027,35027,35027,35027,35027,936.0,56.379999816417694
260,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35029,35029,35029,35029,35029,35027,35005,35029,35029,35029,35029,35029,727.0,35.86999966017902
270,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34981,34981,34981,34979,34981,34924,34963,34981,34979,34979,34979,34979,898.0,46.01999976672232
270,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35029,35029,35029,35015,35029,35009,34996,35029,35015,35015,35015,35014,1057.0,63.81999966315925
270,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35004,35036,35036,35036,35036,35036,840.0,56.11999963782728
275,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34910,34910,34910,34909,34910,34909,34895,34910,34909,34909,34909,34909,674.0,35.89999995008111
275,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35012,35036,35036,35036,35036,35036,1028.0,72.09999984316528
275,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,34854,35036,34878,35004,35036,34854,34854,34854,34854,729.0,41.12999989464879
280,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35017,35017,35017,35017,35017,34961,34989,35017,35017,35017,35017,35017,797.0,41.34999985806644
280,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35027,35027,35027,35014,35014,34489,34999,35027,35014,35014,35014,35014,1053.0,64.34999971650541
280,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35031,35031,35031,35031,35031,35028,34993,35031,35031,35031,35031,35030,675.0,41.59999984316528
290,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35016,35016,35016,35009,35016,34923,34994,35016,35009,35009,35009,35009,910.0,48.639999717473984
290,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,35034,35034,35030,35002,35034,35034,35034,35034,35034,1001.0,59.67999959923327
290,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35014,35034,35004,35008,35034,35014,35014,35014,35014,728.0,46.829999785870314
302,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35019,35019,35019,34986,34986,35011,34995,35019,34986,34986,34986,34983,736.0,44.479999693110585
302,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,34995,34995,35035,35007,35036,34995,34995,34995,34995,917.0,48.25999973528087
302,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,34994,34994,35034,35014,35036,34994,34994,34994,34994,620.0,37.46999967843294
303,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35012,35012,35012,35012,35012,35011,34996,35012,35012,35012,35012,35012,770.0,45.789999917149544
303,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35031,35031,35031,34816,35031,35030,34997,35031,34816,34816,34816,34494,937.0,56.999999864026904
303,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35034,35014,35034,35034,35034,35034,35034,668.0,35.6399997882545
304,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35001,35001,35001,34967,34968,34996,34978,35001,34967,34967,34967,34965,776.0,40.279999658465385
304,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35006,35006,35006,34964,34965,34567,34973,35006,34964,34964,34964,34964,951.0,52.51999965682626
304,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,34994,34994,35035,35005,35035,34994,34994,34994,34994,775.0,43.29000001400709
311,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,34993,34993,35018,34990,35036,34993,34993,34993,34993,743.0,42.02999979443848
311,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,34992,34992,35023,34998,35035,34992,34992,34992,34992,928.0,66.77999973110855
311,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,34993,34993,35034,35012,35036,34993,34993,34993,34993,695.0,45.14999972656369
315,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,804.0,50.89999986439943
315,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35030,35030,35030,35030,35030,35029,35030,35030,35030,35030,35030,35030,1048.0,67.23999986052513
315,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35030,35030,35030,35030,35029,35030,35030,35030,35030,35030,35030,691.0,38.28999980725348
320,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,34994,34994,35034,35036,35036,34994,34994,34994,34994,761.0,47.01999985426664
320,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,34993,34993,35036,35036,35036,34993,34993,34993,34993,950.0,62.599999660626054
320,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34249,34249,34249,34209,34209,34249,34248,34249,34209,34209,34209,34206,740.0,46.98999963700771
335,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34967,34967,34967,34961,34967,34484,34967,34967,34961,34961,34961,34961,732.0,45.04999980330467
335,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,35036,918.0,51.05999970622361
335,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35035,35036,35036,35036,35036,35036,35036,721.0,41.0399999152869
340,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35022,35022,35022,35022,35022,35022,35002,35022,35022,35022,35022,35020,758.0,44.83999979868531
340,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35024,35024,35024,35022,35024,35020,35001,35024,35022,35022,35022,35022,912.0,46.969999834895134
340,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35031,35008,35035,35035,35035,35035,35035,750.0,51.5899997279048
380,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34182,34182,34182,34162,34182,34150,34119,34182,34162,34162,34162,34158,651.0,39.97999985516071
380,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35000,35000,35000,35000,35000,34989,34979,35000,35000,35000,35000,35000,829.0,49.31999975442886
380,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35033,35009,35035,35035,35035,35035,35035,577.0,31.079999865964055
395,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35028,35028,35028,35028,35028,35024,35028,35028,35028,35028,35028,35028,749.0,46.899999694898725
395,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35030,35035,35035,35035,35035,35035,35035,826.0,49.669999750331044
395,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34937,34937,34937,34937,34937,34937,34937,34937,34937,34937,34937,34937,702.0,52.03999977745116
400,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34653,34653,34653,33855,34517,33988,34629,34653,33855,33855,33855,33854,755.0,47.42999979108572
400,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35032,35007,35035,35035,35035,35035,35035,796.0,48.3099997472018
400,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35034,35009,35035,35035,35035,35035,35035,621.0,47.13999976962805
405,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34999,34999,34999,34992,34999,34956,34938,34999,34992,34992,34992,34992,701.0,49.01999978534877
405,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35027,35027,35027,35027,35027,35016,34995,35027,35027,35027,35027,35027,842.0,54.17999970726669
405,2025,2025-01-01 00:15:00,2025-12-31 23:45:00,35028,35028,35028,35026,35028,35025,35009,35028,35026,35026,35026,35026,683.0,54.969999834895134
410,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35004,35036,35036,35036,35036,35036,857.0,50.409999718889594
410,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35035,35008,35036,35036,35036,35036,35036,732.0,43.62999979406595
410,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,34626,35034,34625,35003,35034,34626,34626,34626,34626,587.0,35.6499999165535
415,2023,2023-12-19 22:30:00,2023-12-31 23:45:00,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,48.0,1.769999984651804
415,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,35035,35035,35035,35035,940.0,48.15999982878566
415,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35032,35032,35032,35024,35032,35032,35032,35032,35024,35024,35024,35024,776.0,46.269999815151095
420,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34540,34540,34540,34540,34540,34538,34526,34540,34540,34540,34540,34540,1222.0,103.73999968543649
420,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35037,35037,35037,34152,34152,35033,35010,35037,34152,34152,34152,34152,1081.0,73.17999980598688
420,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35029,35009,35034,35034,35034,35034,35034,759.0,42.14999973960221
425,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35026,35026,35026,35026,35026,35025,35004,35026,35026,35026,35026,35026,1034.0,64.18999977782369
425,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35031,35015,35036,35036,35036,35036,35035,913.0,47.61999977752566
425,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,22423,22423,22423,22422,22423,17939,22401,22423,22422,22422,22422,22418,474.0,36.70000006072223
430,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35011,35016,35035,35036,35036,35011,35011,35011,34956,977.0,57.289999870583415
430,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35035,35036,35036,35036,35036,35036,35036,989.0,61.95999957062304
430,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35030,35030,35030,35030,35029,35027,35030,35030,35030,35030,35030,757.0,44.2899997215718
435,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35007,35007,35007,34961,35007,34692,34916,35007,34961,34961,34961,34954,851.0,48.72999965772033
435,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,34050,34050,34050,34022,34024,33785,34023,34050,34022,34022,34022,34019,793.0,45.40999983996153
435,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34990,34990,34990,34987,34990,34986,34961,34990,34987,34987,34987,34986,755.0,52.56999973766506
440,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35017,35017,35017,35017,35017,35015,35008,35017,35017,35017,35017,34602,1041.0,80.84999962709844
440,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35022,35022,35022,35022,35022,35021,34996,35022,35022,35022,35022,35022,1137.0,76.58999965526164
440,2025,2025-01-01 00:15:00,2025-12-31 23:45:00,35023,35023,35023,35023,35023,35023,34991,35023,35023,35023,35023,35023,839.0,55.429999869316816
450,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35031,35031,35031,35031,35031,34646,35031,35031,35031,35031,35031,35031,671.0,56.96999968215823
450,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35035,35036,35036,35036,35036,35036,941.0,52.33999966830015
450,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35032,35032,35032,35032,35032,35032,35031,35032,35032,35032,35032,35032,702.0,51.91999959014356
455,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35012,35012,35012,35012,35012,35010,34890,35012,35012,35012,35012,35012,866.0,47.489999651908875
455,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,34966,34966,35030,35007,35034,34966,34966,34966,34966,747.0,45.2799999024719
455,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35031,35015,35036,35036,35036,35036,35036,765.0,46.839999759569764
460,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34954,34954,34954,34913,34913,34946,34929,34954,34913,34913,34913,34913,882.0,59.02999981865287
460,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,34993,34993,35029,34999,35034,34993,34993,34993,34993,939.0,53.339999716728926
460,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35031,35031,35031,34987,34987,35031,35003,35031,34987,34987,34987,34987,774.0,51.86999985203147
470,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35021,35021,35021,35021,35021,35021,34948,35021,35021,35021,35021,35020,770.0,46.6099998857826
470,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35029,35029,35029,35029,35029,35029,34997,35029,35029,35029,35029,35029,775.0,44.289999797940254
470,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35028,35028,35028,35028,35028,35028,34997,35028,35028,35028,35028,35028,703.0,49.52999961748719
480,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34998,34998,34998,34998,34998,34996,34975,34998,34998,34998,34998,34998,553.0,36.619999807327986
480,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35029,35029,35029,35029,35029,35028,35004,35029,35029,35029,35029,35029,1016.0,67.05999977141619
480,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35030,35030,35030,35030,35030,35007,35030,35030,35030,35030,35030,627.0,38.74999992363155
490,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34841,34439,34841,34841,34841,34839,34840,34841,34841,34841,34841,34838,657.0,44.89999986253679
490,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35033,35033,35033,35033,35033,35030,35033,35033,35033,35033,35033,35033,867.0,47.91999970190227
490,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,34830,35035,35035,35035,35035,35035,35035,616.0,39.61999981850386
