subset,layer,segment,local_models,median_events_per_model,total_points,median_rmse_mm,mean_rmse_mm,median_mae_mm,mean_mae_mm,median_bias_mm,mean_bias_mm
all_events,moisture_12in,early_0_3h,17,15.0,6048,0.8821193252256682,1.2331564608993961,0.646556428215358,0.8426572177281818,0.08109264147856175,0.0877222732821001
all_events,moisture_12in,post3_late_storage,12,12.5,4917,0.6866785390055784,0.9287677223333647,0.38854558046976484,0.5048880640908217,-0.010138918727703797,-0.0373562420486784
all_events,moisture_12in,post3_mid_storage,7,14.0,2424,0.7921877247027789,1.3800157293801865,0.5643198416359494,0.9700788580245,-0.03350497616617322,-0.32965219333919343
all_events,moisture_16in,early_0_3h,10,13.5,4860,0.9177535005813998,0.9107534017369685,0.5697851635810322,0.5958902076920375,0.02935273779203105,0.0016028494837894783
all_events,moisture_16in,post3_late_storage,5,14.0,2483,0.5899808542570993,0.618352738185288,0.3400682625437468,0.384602080260368,-0.023851572131804482,-0.061172756576402997
all_events,moisture_16in,post3_mid_storage,4,13.0,1296,0.8520525477146003,0.8234831769904759,0.5561931905141231,0.5055802905672727,-0.07459840095824495,-0.08545894401841914
all_events,moisture_20in,early_0_3h,9,19.0,3955,1.0397293991944585,1.7950454503350022,0.7711717240856979,1.2917279882335428,-0.0032392169296102955,-0.4193684134004954
all_events,moisture_20in,post3_late_storage,4,18.0,1666,0.5643778660206711,0.5288657700073923,0.369455583577467,0.3671571434800463,-0.006586008823550758,-0.06317456596084088
all_events,moisture_20in,post3_mid_storage,2,10.5,536,1.2879754786148059,1.2879754786148059,1.0211274425906536,1.0211274425906536,-0.5217761930706032,-0.5217761930706032
all_events,moisture_4in,early_0_3h,38,90.5,46257,0.8660956786154927,1.7696721176113057,0.5907762763671842,1.2787627293329307,0.025473675633668903,-0.429667816633819
all_events,moisture_4in,post3_late_storage,34,84.0,47848,0.7280737699110619,1.0384325273731503,0.38308325690118683,0.5412079386367337,0.0008960063649966741,-0.11199472834300725
all_events,moisture_4in,post3_mid_storage,32,68.5,41753,0.6847779631285693,0.9283399993793695,0.4662387859153474,0.5676655035615117,-0.0018460841472736126,-0.07014892324905327
all_events,moisture_8in,early_0_3h,22,39.5,10764,0.8086021073642202,1.175152664793238,0.5546882682631407,0.7346793359856426,0.08080889904977745,-0.010951750911799209
all_events,moisture_8in,post3_late_storage,18,30.0,12883,0.3782016475685197,0.42230679196939014,0.2655966530410071,0.27380354862462525,-0.020634683584948563,-0.027584317385254443
all_events,moisture_8in,post3_mid_storage,18,19.0,9146,0.6363809741261339,0.6190383883237397,0.46524838212886566,0.4432919446194192,-0.07497163664423093,-0.07940501752640872
clean_48h,moisture_12in,early_0_3h,7,16.0,2967,0.7043507062787947,0.8814498031750014,0.45752141337136415,0.5459231492536547,0.07560918136969506,0.05849868947513647
clean_48h,moisture_12in,post3_late_storage,4,21.0,1612,0.8997653832179178,1.2533532853684166,0.4165481263137446,0.7789051926474867,0.007195860550283442,-0.32413066855889294
clean_48h,moisture_12in,post3_mid_storage,3,18.0,1030,1.0324764440538297,1.315461143124144,0.648162155653529,0.8989783273528368,-0.009738051817879734,-0.1373912015656749
clean_48h,moisture_16in,early_0_3h,2,158.5,2552,1.9662115047425968,1.9662115047425968,1.44722153969955,1.44722153969955,-0.08359272937283575,-0.08359272937283575
clean_48h,moisture_16in,post3_late_storage,2,31.5,708,0.7541955847507226,0.7541955847507226,0.3620984284367931,0.3620984284367931,0.07107029290121533,0.07107029290121533
clean_48h,moisture_16in,post3_mid_storage,2,18.0,353,0.7979649031546985,0.7979649031546985,0.4352948746819879,0.4352948746819879,0.0825503190279577,0.0825503190279577
clean_48h,moisture_20in,early_0_3h,4,26.5,1718,1.4619097929946903,1.8381538248587084,0.9324621584223935,1.1993027931334526,-0.10552958005843693,0.03968680427457599
clean_48h,moisture_20in,post3_late_storage,2,22.5,427,0.5475112588091359,0.5475112588091359,0.41802141106169133,0.41802141106169133,0.0307572671780558,0.0307572671780558
clean_48h,moisture_4in,early_0_3h,35,59.0,28632,1.0962780823855451,1.2238968708474722,0.6181183342308767,0.7739122812772191,0.05534763875733136,0.03717989099745594
clean_48h,moisture_4in,post3_late_storage,30,59.5,29777,0.501693050512946,0.7005275329374808,0.3030137571961441,0.3389218918759388,0.00983563479301933,0.035008017876769396
clean_48h,moisture_4in,post3_mid_storage,30,47.0,27488,0.6669354796372122,0.786764971905703,0.3657133696569466,0.4415363213321496,0.012503626260001571,-0.005293998503415648
clean_48h,moisture_8in,early_0_3h,15,24.0,4513,0.6232913396732095,0.7597967913579375,0.4396059228816081,0.47305872977890856,0.014581718354215978,0.03762574254195572
clean_48h,moisture_8in,post3_late_storage,13,16.0,4843,0.36890886484459856,0.6005710522406749,0.2735538520335629,0.31898853555864876,-0.020775730438836387,-0.024521628153472787
clean_48h,moisture_8in,post3_mid_storage,9,14.0,3436,0.6036315618158641,0.5590037212380647,0.41905736937346183,0.39030167153138906,-0.02418310302574631,-0.055203767548211054
clean_stageII_48h,moisture_12in,early_0_3h,3,22.0,672,0.6383870331037393,0.6551933214439486,0.4927082781525883,0.46621254312051824,0.055618612376968336,0.0493490196378073
clean_stageII_48h,moisture_12in,post3_late_storage,3,22.0,982,0.8002403487824965,0.7423389159571562,0.4774186894489078,0.4202691474383342,0.010673528301892655,-0.021426684501680143
clean_stageII_48h,moisture_12in,post3_mid_storage,2,18.5,546,0.5823134938536231,0.5823134938536231,0.36220073797039387,0.36220073797039387,0.025459976507681427,0.025459976507681427
clean_stageII_48h,moisture_16in,early_0_3h,2,18.5,444,0.9007625547607291,0.9007625547607291,0.7019627903520375,0.7019627903520375,-0.008004482575815432,-0.008004482575815432
clean_stageII_48h,moisture_16in,post3_late_storage,2,18.5,564,0.6829956547600102,0.6829956547600102,0.43019809325934233,0.43019809325934233,0.0813326196248688,0.0813326196248688
clean_stageII_48h,moisture_16in,post3_mid_storage,2,9.5,175,0.98411776094283,0.98411776094283,0.7672256889154273,0.7672256889154273,0.07426122845414221,0.07426122845414221
clean_stageII_48h,moisture_20in,early_0_3h,1,31.0,372,0.8636520583002589,0.8636520583002589,0.6219537648683544,0.6219537648683544,0.03559559094488279,0.03559559094488279
clean_stageII_48h,moisture_20in,post3_late_storage,1,31.0,337,0.11894223883148185,0.11894223883148185,0.09910128457882451,0.09910128457882451,-0.0038920393872543917,-0.0038920393872543917
clean_stageII_48h,moisture_4in,early_0_3h,30,44.0,17127,0.6885409301583661,0.9815915103347819,0.4330561393750958,0.5702510874562859,0.0885567093585494,0.13940136779756462
clean_stageII_48h,moisture_4in,post3_late_storage,30,44.0,24488,0.44978739614266344,0.5833846715950405,0.25091127404317015,0.3090900294574953,0.015219572014180876,-0.009617956952232228
clean_stageII_48h,moisture_4in,post3_mid_storage,28,36.5,17823,0.6480194645618134,0.7494483911794497,0.43809428785424487,0.46178241257600056,0.004280460985605716,-0.035118196891979474
clean_stageII_48h,moisture_8in,early_0_3h,10,16.0,1836,0.6261903387744516,0.6300312784136468,0.4276347584531584,0.43301596856381075,0.058975097533001244,0.05090520919758601
clean_stageII_48h,moisture_8in,post3_late_storage,10,16.0,3652,0.357097503115373,0.415169442483079,0.25404045809244374,0.2696847637378258,-0.023704057986885123,-0.036323809852506606
clean_stageII_48h,moisture_8in,post3_mid_storage,8,13.5,2410,0.6293184290255175,0.640826527478182,0.3831863659325708,0.4295578223384281,-0.026599025420045795,-0.08680483579921998
clean_stageII_48h_no405,moisture_12in,early_0_3h,2,15.0,360,0.7202890314640922,0.7202890314640922,0.5123597906154522,0.5123597906154522,0.04621422326822678,0.04621422326822678
clean_stageII_48h_no405,moisture_12in,post3_late_storage,2,15.0,597,0.7133881995444861,0.7133881995444861,0.39169437643304744,0.39169437643304744,0.017490106037946297,0.017490106037946297
clean_stageII_48h_no405,moisture_12in,post3_mid_storage,1,16.0,184,0.5424588591674716,0.5424588591674716,0.26410409213521246,0.26410409213521246,0.05531916741477349,0.05531916741477349
clean_stageII_48h_no405,moisture_16in,early_0_3h,1,24.0,288,0.7071394513277185,0.7071394513277185,0.5129376587395541,0.5129376587395541,0.01067529504178524,0.01067529504178524
clean_stageII_48h_no405,moisture_16in,post3_late_storage,1,24.0,397,0.2640079031283793,0.2640079031283793,0.18129096751305196,0.18129096751305196,-0.042237792709508816,-0.042237792709508816
clean_stageII_48h_no405,moisture_16in,post3_mid_storage,1,10.0,91,0.5681853135989368,0.5681853135989368,0.353152173143535,0.353152173143535,-0.005719689339650485,-0.005719689339650485
clean_stageII_48h_no405,moisture_20in,early_0_3h,1,31.0,372,0.8636520583002589,0.8636520583002589,0.6219537648683544,0.6219537648683544,0.03559559094488279,0.03559559094488279
clean_stageII_48h_no405,moisture_20in,post3_late_storage,1,31.0,337,0.11894223883148185,0.11894223883148185,0.09910128457882451,0.09910128457882451,-0.0038920393872543917,-0.0038920393872543917
clean_stageII_48h_no405,moisture_4in,early_0_3h,29,44.0,16606,0.6619142285278099,0.9864316524255291,0.4261704390107793,0.5742677239664159,0.08707482610079803,0.13903709519843022
clean_stageII_48h_no405,moisture_4in,post3_late_storage,29,44.0,23878,0.4556713702895906,0.5927761570618355,0.2509173077336604,0.3123948423414781,0.015628604807510053,-0.010405452563972723
clean_stageII_48h_no405,moisture_4in,post3_mid_storage,27,37.0,17517,0.6743378995578503,0.7657659838642976,0.44700473082018893,0.4703085831170043,0.0043344893622457,-0.03488227514677625
clean_stageII_48h_no405,moisture_8in,early_0_3h,9,14.0,1584,0.6475458219609497,0.6478993894074258,0.4385878402870435,0.4402409576703347,0.05956973185434232,0.05646145654280916
clean_stageII_48h_no405,moisture_8in,post3_late_storage,9,14.0,3335,0.3568243524466643,0.4211052159637486,0.24162041636714926,0.2671272261382523,-0.025212489264623373,-0.03789360797954658
clean_stageII_48h_no405,moisture_8in,post3_mid_storage,7,11.0,2149,0.6909885964584327,0.6569299824688597,0.40294563588243326,0.43900506896067376,-0.012496774196138854,-0.09339105853568673
clean_stageII_48h_site_balanced,moisture_12in,early_0_3h,3,22.0,672,0.6383870331037393,0.6551933214439486,0.4927082781525883,0.46621254312051824,0.055618612376968336,0.0493490196378073
clean_stageII_48h_site_balanced,moisture_12in,post3_late_storage,3,22.0,982,0.8002403487824965,0.7423389159571562,0.4774186894489078,0.4202691474383342,0.010673528301892655,-0.021426684501680143
clean_stageII_48h_site_balanced,moisture_12in,post3_mid_storage,2,18.5,546,0.5823134938536231,0.5823134938536231,0.36220073797039387,0.36220073797039387,0.025459976507681427,0.025459976507681427
clean_stageII_48h_site_balanced,moisture_16in,early_0_3h,2,18.5,444,0.9007625547607291,0.9007625547607291,0.7019627903520375,0.7019627903520375,-0.008004482575815432,-0.008004482575815432
clean_stageII_48h_site_balanced,moisture_16in,post3_late_storage,2,18.5,564,0.6829956547600102,0.6829956547600102,0.43019809325934233,0.43019809325934233,0.0813326196248688,0.0813326196248688
clean_stageII_48h_site_balanced,moisture_16in,post3_mid_storage,2,9.5,175,0.98411776094283,0.98411776094283,0.7672256889154273,0.7672256889154273,0.07426122845414221,0.07426122845414221
clean_stageII_48h_site_balanced,moisture_20in,early_0_3h,1,30.0,360,0.8446662542454313,0.8446662542454313,0.6239773793628138,0.6239773793628138,-0.12090584392416291,-0.12090584392416291
clean_stageII_48h_site_balanced,moisture_20in,post3_late_storage,1,30.0,325,0.1338813068581768,0.1338813068581768,0.11308607038023646,0.11308607038023646,-0.006060868633637284,-0.006060868633637284
clean_stageII_48h_site_balanced,moisture_4in,early_0_3h,30,30.0,9324,0.5687663206733184,0.5788148763920432,0.32261397906539696,0.37332603033238493,0.04373085855141982,0.05393421882140512
clean_stageII_48h_site_balanced,moisture_4in,post3_late_storage,30,30.0,13621,0.3330127269508806,0.5889271580961141,0.24413469941481086,0.3005865666507611,-0.01701891161996866,-0.0018232863036502863
clean_stageII_48h_site_balanced,moisture_4in,post3_mid_storage,28,25.5,9596,0.3901241178041849,0.4919678820879751,0.2804380471183925,0.3368202696395763,0.003071401211751499,-0.026095980839263417
clean_stageII_48h_site_balanced,moisture_8in,early_0_3h,10,16.0,1836,0.6261903387744516,0.6300312784136468,0.4276347584531584,0.43301596856381075,0.058975097533001244,0.05090520919758601
clean_stageII_48h_site_balanced,moisture_8in,post3_late_storage,10,16.0,3652,0.357097503115373,0.415169442483079,0.25404045809244374,0.2696847637378258,-0.023704057986885123,-0.036323809852506606
clean_stageII_48h_site_balanced,moisture_8in,post3_mid_storage,8,13.5,2410,0.6293184290255175,0.640826527478182,0.3831863659325708,0.4295578223384281,-0.026599025420045795,-0.08680483579921998
